#Create Time :2023-04-12 16:23:08.172466 
87152.986628 9.598882 0.249212 -2.617130
87152.991571 9.599922 0.252829 -2.635650
87152.996515 9.602514 0.238656 -2.671605
87153.001459 9.637742 0.203261 -2.683795
87153.006372 9.659640 0.266330 -2.663819
87153.011316 9.663808 0.287822 -2.656574
87153.016260 9.648491 0.230399 -2.693706
87153.021204 9.587896 0.265301 -2.682309
87153.025995 9.577246 0.314174 -2.646210
87153.031031 9.598936 0.286658 -2.599390
87153.036005 9.624558 0.287555 -2.611968
87153.040979 9.622721 0.287483 -2.589812
87153.045923 9.584077 0.293780 -2.580978
87153.050867 9.573584 0.273090 -2.581803
87153.055811 9.545762 0.219907 -2.549698
87153.060755 9.590321 0.222515 -2.537375
87153.065638 9.592955 0.225628 -2.572328
87153.070581 9.604842 0.229550 -2.545026
87153.075525 9.552340 0.255270 -2.515479
87153.080469 9.550387 0.269014 -2.514374
87153.085413 9.599083 0.269826 -2.508653
87153.090326 9.683665 0.308813 -2.474193
87153.095270 9.737182 0.328690 -2.452821
87153.100214 9.810565 0.374185 -2.459611
87153.105127 9.906608 0.360710 -2.486098
87153.110071 9.986444 0.400925 -2.436305
87153.115015 10.036990 0.404242 -2.372915
87153.119959 10.010357 0.398940 -2.346224
87153.124903 9.992502 0.355415 -2.340073
87153.129816 9.896086 0.342930 -2.304532
87153.134607 9.804172 0.320670 -2.364235
87153.139673 9.764023 0.300528 -2.409758
87153.144648 9.746706 0.318145 -2.418473
87153.149622 9.733376 0.374063 -2.458801
87153.154535 9.699794 0.399622 -2.509365
87153.159479 9.697611 0.412766 -2.528664
87153.164392 9.665087 0.429721 -2.599240
87153.169336 9.628305 0.393885 -2.647978
87153.174280 9.630330 0.390082 -2.690257
87153.179224 9.632213 0.418958 -2.670170
87153.184137 9.630433 0.420740 -2.686147
87153.189081 9.646931 0.475181 -2.693070
87153.194025 9.625391 0.443608 -2.649817
87153.198938 9.602102 0.378746 -2.650054
87153.203913 9.583255 0.365012 -2.599234
87153.208857 9.533904 0.310883 -2.598964
87153.213800 9.470743 0.288352 -2.545654
87153.218744 9.472479 0.268838 -2.513888
87153.223688 9.545453 0.194451 -2.430008
87153.228571 9.641640 0.146126 -2.382900
87153.233362 9.663176 0.150842 -2.287689
87153.238184 9.707545 0.201036 -2.229838
87153.243341 9.719017 0.237328 -2.220768
87153.248346 9.722551 0.282631 -2.264839
87153.253321 9.734588 0.336519 -2.279350
